Supplier ID,Supplier Name,Amount
108997,Geze UK Ltd,932.65
47501,Gibbs and Dandy Plc,"2,422.35"
1746601,Gladstone MRM,"5,692.50"
21201,Glasdon UK Ltd,"6,129.07"
8301,Glenore Home Care Services,"10,437.22"
1892701,GLS Educational Supplies Ltd,"20,553.72"
125501,GMB National Administration Unit,"5,962.22"
110669,Go Kids Ltd,"1,405.00"
112575,Goldcare Group Limited Woburn Sands,"15,109.68"
2739801,Golden Rose Community Care Services,725.34
2322401,Golders Hill School Ltd Re Winbury,"17,136.75"
106583,Goldline Media Ltd  t/as UniServity,"1,264.95"
111622,Goodger Design Associates,"7,935.35"
112420,Google Ireland Limited,"20,400.00"
100581,Gordon Sturges,"2,364.20"
111865,Goron Graphics,580.75
112195,GovMetric rol Solutions Limited,"14,757.38"
106044,GovNet Communications,989.00
102809,Graffiti Removal Limited,"2,019.40"
108719,Graham,"3,199.19"
158101,Grant Plant (Maidenhead) Ltd,"1,612.30"
111981,Graphic Detail,"1,702.00"
111400,Green Team Interiors Ltd,"1,342.05"
65301,Greenham Trading Ltd,"6,848.18"
2397802,Greenslade Services Limited,"4,442.70"
100892,Gresswell,"1,132.55"
107619,Group 4 Securicor,"11,307.83"
1954401,Grundon Waste Management Ltd,"30,790.45"
2324001,GT & JE Ltd T/A Datchet Montessori School,"12,739.00"
105560,Guardian Homecare (Maidenhead) Ltd,"24,765.25"
2717401,Guards Club Road Association,500.00
111017,Gullivers Truck Hire Ltd,"2,574.73"
162001,H M Land Registry,"1,842.00"
103414,H2O Servicing Limited,830.30
3965101,Halarose of Oxford Limited,"1,224.54"
104898,Hamilton Lodge(Education)Ltd,"31,333.00"
100079,Hampshire Autistic Society,"159,137.91"
3385901,Happy Days Pre-School Nursery,"8,537.63"
107087,Harlequin Travel,"2,245.00"
103662,Named Individual,900.00
109160,Harrington Bates,"5,938.46"
3990601,Harris & Porter,"15,401.01"
106434,Harrison Catering Services Limited,"156,186.04"
111775,Harte & Garter Hotel and Spa,810.00
112500,Hartnell Taylor Cook LLP,750.00
3630801,Harts Leap(Sandhurst) Ltd,"6,354.92"
12801,Harwood House Residential Nursing Home,"17,766.90"
102031,Hawkinsport & Son,"3,676.55"
13204,Haymarket Publishing,897.00
378201,Hays Accountancy Personnel,"28,623.50"
101548,Haystack Dryers,"1,576.93"
2736101,Hazlemere Window Company Ltd,"8,829.47"
2614701,Headline Training,"2,719.75"
4073101,Headway Thames Valley,"8,244.00"
3119802,Heald Limited,"2,117.94"
106454,Health Protection Agency,645.38
4133001,Heath Lambert Limited,"619,275.45"
104313,Heathland Management Services,"6,883.98"
2722201,Heinemann,980.69
106793,Named Individual,968.00
110860,Helping Hands,"5,698.56"
8901,Hemming Group Ltd,920.80
105724,Henley Signpeople Ltd,"1,472.00"
126229,Her Majestys Court Services (HMCS),"5,020.00"
126201,Her Majestys Courts Service,"4,575.00"
