"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Dunn, Miranda J.   ","Green",567,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Freer, Michael W.","Conservative",2543,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Graber, Ingeborg   ","Liberal Democrat",435,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Graham, James P.D.","Liberal Democrat",508,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Greenspan, Eva   ","Conservative",2604,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Paun, Alay   ","Labour",691,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Thomas, Daniel C.B.","Conservative",2402,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Walsh, Michael A.","Labour",756,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Watkins, Brian J.","Labour",702,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Barber, Stephen D.","Liberal Democrat",1395,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Farrer, Andrew C.","Green",411,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Harper, Andrew C.","Conservative",2307,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Harris, Marjorie A. ","Liberal Democrat",1701,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Lusher, Peter A.","Liberal Democrat",1425,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Marshall, John L.","Conservative",2418,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Murrell, Kenneth C.","Labour",462,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Naghar, Jazmin   ","Conservative",2158,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Solomons, Janet F.","Labour",459,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Ward, Diarmaid J.","Labour",325,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Badrick, Dorothy R.","Independent",389,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Boulton, Anthony P.","Labour",588,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Cohen, Dean S.B.","Conservative",2090,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Cohen, Melvin","Conservative",2134,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Davies, Jonathan M.","Liberal Democrat",401,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Harris, Christopher G.S.","Conservative",2095,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Incenzo, Dolores C.","Green",329,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Kovar, Simon V.","Liberal Democrat",344,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"McGuirk, Mary P.","Labour",555,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"McKinnell, Pauline A.","Liberal Democrat",415,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Ross, Aubrey E.","Labour",690,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Balendra, Sandi J.","Labour",1820,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Blomer, Steven E.","Labour",1799,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Dustagheer, Adam   ","Labour",1749,,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Ellison, Jane E.","Conservative",2276,,,,,,,,,,,,,
