"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Wilding, Peter J.","Conservative",1603,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Arwas, Elliot   ","Conservative",1205,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Foley, Michael P.","Liberal Democrat",449,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon","*","Johnson, Julie H.","Labour",1694,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Lawrence, Jasmine C.","Green",400,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Levy, Harry J.","Liberal Democrat",509,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Rosoux, Victoria J.E.","Liberal Democrat",367,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Sharma, Vinay K.","Conservative",1059,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon","*","Slocombe, Agnes C.","Labour",1616,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon","*","Sodha, Ansuya V.","Labour",1555,,,,,,,,,,,,,
2,20,"Barnet",,"West Hendon",,"Stevens, Margaret R.","Conservative",1119,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Bird, Christopher J.R.","Conservative",1698,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse","*","Cooke, Geoffrey N.","Labour",2081,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse","*","Hutton, Anne C.","Labour",2061,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Kerner, Stefan N.","Conservative",1728,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Landeryou, Rita I.","Liberal Democrat",624,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Murphy, Ian V.","Liberal Democrat",714,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse","*","Schneiderman, Alan   ","Labour",1856,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Sutcliffe, John A.","Liberal Democrat",513,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Thompstone, Reuben F.","Conservative",1662,,,,,,,,,,,,,
2,21,"Barnet",,"Woodhouse",,"Vaswani, Edelgard   ","Green",660,,,,,,,,,,,,,
